date,year,mo,da,avg_temp_prev_7_day,avg_temp_prev_6_day,avg_temp_prev_5_day,avg_temp_prev_4_day,avg_temp_prev_3_day,avg_temp_prev_2_day,avg_temp_prev_1_day,avg_dew_point_prev_7_day,avg_dew_point_prev_6_day,avg_dew_point_prev_5_day,avg_dew_point_prev_4_day,avg_dew_point_prev_3_day,avg_dew_point_prev_2_day,avg_dew_point_prev_1_day,avg_sea_level_point_prev_7_day,avg_sea_level_point_prev_6_day,avg_sea_level_point_prev_5_day,avg_sea_level_point_prev_4_day,avg_sea_level_point_prev_3_day,avg_sea_level_point_prev_2_day,avg_sea_level_point_prev_1_day,avg_wind_speed_prev_7_day,avg_wind_speed_prev_6_day,avg_wind_speed_prev_5_day,avg_wind_speed_prev_4_day,avg_wind_speed_prev_3_day,avg_wind_speed_prev_2_day,avg_wind_speed_prev_1_day,total_precipitation_prev_7_day,total_precipitation_prev_6_day,total_precipitation_prev_5_day,total_precipitation_prev_4_day,total_precipitation_prev_3_day,total_precipitation_prev_2_day,total_precipitation_prev_1_day,flag_precipitation_prev_7_day,flag_precipitation_prev_6_day,flag_precipitation_prev_5_day,flag_precipitation_prev_4_day,flag_precipitation_prev_3_day,flag_precipitation_prev_2_day,flag_precipitation_prev_1_day,rain_drizzle
2013-01-01,2013,01,01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2013-01-02,2013,01,02,,,,,,,81.0,,,,,,,75.1,,,,,,,1008.9,,,,,,,6.0,,,,,,,0.08,,,,,,,C,0
2013-01-03,2013,01,03,,,,,,81.0,82.7,,,,,,75.1,75.4,,,,,,1008.9,1010.1,,,,,,6.0,3.5,,,,,,0.08,0.0,,,,,,C,I,1
2013-01-04,2013,01,04,,,,,81.0,82.7,83.6,,,,,75.1,75.4,75.8,,,,,1008.9,1010.1,1008.7,,,,,6.0,3.5,4.4,,,,,0.08,0.0,0.04,,,,,C,I,A,1
2013-01-05,2013,01,05,,,,81.0,82.7,83.6,78.6,,,,75.1,75.4,75.8,73.4,,,,1008.9,1010.1,1008.7,1008.1,,,,6.0,3.5,4.4,6.8,,,,0.08,0.0,0.04,0.26,,,,C,I,A,B,1
2013-01-06,2013,01,06,,,81.0,82.7,83.6,78.6,80.5,,,75.1,75.4,75.8,73.4,74.9,,,1008.9,1010.1,1008.7,1008.1,1007.6,,,6.0,3.5,4.4,6.8,5.7,,,0.08,0.0,0.04,0.26,0.2,,,C,I,A,B,C,1
2013-01-07,2013,01,07,,81.0,82.7,83.6,78.6,80.5,80.3,,75.1,75.4,75.8,73.4,74.9,73.9,,1008.9,1010.1,1008.7,1008.1,1007.6,1009.1,,6.0,3.5,4.4,6.8,5.7,8.4,,0.08,0.0,0.04,0.26,0.2,0.2,,C,I,A,B,C,A,1
2013-01-08,2013,01,08,81.0,82.7,83.6,78.6,80.5,80.3,81.9,75.1,75.4,75.8,73.4,74.9,73.9,74.6,1008.9,1010.1,1008.7,1008.1,1007.6,1009.1,1008.4,6.0,3.5,4.4,6.8,5.7,8.4,5.2,0.08,0.0,0.04,0.26,0.2,0.2,0.0,C,I,A,B,C,A,H,1
2013-01-09,2013,01,09,82.7,83.6,78.6,80.5,80.3,81.9,79.1,75.4,75.8,73.4,74.9,73.9,74.6,74.4,1010.1,1008.7,1008.1,1007.6,1009.1,1008.4,1008.8,3.5,4.4,6.8,5.7,8.4,5.2,8.4,0.0,0.04,0.26,0.2,0.2,0.0,0.08,I,A,B,C,A,H,D,1
2013-01-10,2013,01,10,83.6,78.6,80.5,80.3,81.9,79.1,76.3,75.8,73.4,74.9,73.9,74.6,74.4,73.6,1008.7,1008.1,1007.6,1009.1,1008.4,1008.8,1009.2,4.4,6.8,5.7,8.4,5.2,8.4,8.2,0.04,0.26,0.2,0.2,0.0,0.08,1.15,A,B,C,A,H,D,C,1
2013-01-11,2013,01,11,78.6,80.5,80.3,81.9,79.1,76.3,79.3,73.4,74.9,73.9,74.6,74.4,73.6,73.3,1008.1,1007.6,1009.1,1008.4,1008.8,1009.2,1008.8,6.8,5.7,8.4,5.2,8.4,8.2,12.4,0.26,0.2,0.2,0.0,0.08,1.15,0.75,B,C,A,H,D,C,A,1
2013-01-12,2013,01,12,80.5,80.3,81.9,79.1,76.3,79.3,81.6,74.9,73.9,74.6,74.4,73.6,73.3,72.5,1007.6,1009.1,1008.4,1008.8,1009.2,1008.8,1009.7,5.7,8.4,5.2,8.4,8.2,12.4,6.6,0.2,0.2,0.0,0.08,1.15,0.75,99.99,C,A,H,D,C,A,,1
2013-01-13,2013,01,13,80.3,81.9,79.1,76.3,79.3,81.6,80.5,73.9,74.6,74.4,73.6,73.3,72.5,74.4,1009.1,1008.4,1008.8,1009.2,1008.8,1009.7,1010.0,8.4,5.2,8.4,8.2,12.4,6.6,4.4,0.2,0.0,0.08,1.15,0.75,99.99,1.97,A,H,D,C,A,,A,1
2013-01-14,2013,01,14,81.9,79.1,76.3,79.3,81.6,80.5,80.3,74.6,74.4,73.6,73.3,72.5,74.4,75.4,1008.4,1008.8,1009.2,1008.8,1009.7,1010.0,1009.3,5.2,8.4,8.2,12.4,6.6,4.4,3.9,0.0,0.08,1.15,0.75,99.99,1.97,0.12,H,D,C,A,,A,D,1
2013-01-15,2013,01,15,79.1,76.3,79.3,81.6,80.5,80.3,80.4,74.4,73.6,73.3,72.5,74.4,75.4,75.8,1008.8,1009.2,1008.8,1009.7,1010.0,1009.3,1010.2,8.4,8.2,12.4,6.6,4.4,3.9,2.0,0.08,1.15,0.75,99.99,1.97,0.12,0.91,D,C,A,,A,D,A,1
2013-01-16,2013,01,16,76.3,79.3,81.6,80.5,80.3,80.4,78.4,73.6,73.3,72.5,74.4,75.4,75.8,75.2,1009.2,1008.8,1009.7,1010.0,1009.3,1010.2,1011.0,8.2,12.4,6.6,4.4,3.9,2.0,2.8,1.15,0.75,99.99,1.97,0.12,0.91,2.8,C,A,,A,D,A,C,1
2013-01-17,2013,01,17,79.3,81.6,80.5,80.3,80.4,78.4,80.2,73.3,72.5,74.4,75.4,75.8,75.2,76.5,1008.8,1009.7,1010.0,1009.3,1010.2,1011.0,1010.9,12.4,6.6,4.4,3.9,2.0,2.8,0.4,0.75,99.99,1.97,0.12,0.91,2.8,99.99,A,,A,D,A,C,,1
